county_fips,HPSA Score,State,County,Rural-urban score,Population,Birth rate,Death rate,% poverty (ages 0-17),Unemployment rate,Median Income,"% adults, < HS diploma","% adults, HS diploma only","% adults, some college","% adults, college degree or higher",Population change,pop / PC,"pop / PC, MD only","pop / PC, NP only"
56025,13.0,WY,Natrona County,3.0,80892.0,14.2,9.1,11.0,7.1,98.2,8.3,29.1,40.3,22.2,-0.015353805073431242,569.6619718309859,1371.050847457627,974.6024096385543
56041,16.0,WY,Uinta County,7.0,20711.0,14.5,6.6,11.0,5.7,104.9,10.4,36.6,34.8,18.2,-0.0033315629375694077,862.9583333333334,2301.222222222222,1380.7333333333333
56021,17.0,WY,Laramie County,3.0,97968.0,13.7,8.3,11.0,4.1,99.1,6.7,26.5,39.1,27.7,0.009829740323370896,809.6528925619834,1884.0,1419.8260869565217
56005,16.0,WY,Campbell County,5.0,48800.0,16.5,4.4,9.0,7.1,128.3,8.3,34.9,37.7,19.1,-0.010102459016393443,1355.5555555555557,2568.4210526315787,2870.5882352941176
56009,12.0,WY,Converse County,6.0,14127.0,12.7,8.3,10.0,6.2,115.9,9.8,37.9,36.8,15.5,-0.013095490903942804,2018.142857142857,4709.0,3531.75
56033,15.0,WY,Sheridan County,7.0,30049.0,10.9,11.1,11.0,4.7,86.0,6.1,24.9,38.8,30.1,0.003627408566008852,751.225,2311.4615384615386,1112.9259259259259
55059,14.0,WI,Kenosha County,1.0,167869.0,11.4,8.1,19.0,4.7,105.0,10.0,32.3,33.0,24.6,-7.744133818632385e-05,1262.172932330827,2505.507462686567,2543.469696969697
55073,12.0,WI,Marathon County,3.0,135195.0,11.9,9.0,14.0,3.5,99.0,8.9,36.2,31.0,23.9,-0.0014719479270683088,646.866028708134,1453.7096774193549,1165.4741379310344
53031,10.0,WA,Jefferson County,6.0,30909.0,5.8,11.9,21.0,7.0,79.5,5.5,22.1,33.6,38.8,0.01808534730984503,1931.8125,5151.5,3090.9
53055,11.0,WA,San Juan County,9.0,16296.0,5.0,9.1,15.0,4.6,89.0,4.7,17.2,31.1,47.0,0.006688757977417771,2328.0,3259.2,8148.0
53033,10.0,WA,King County,1.0,2155962.0,12.1,6.2,11.0,3.9,128.1,7.5,16.0,27.4,49.1,0.017748921363178016,689.0258868648131,1236.216743119266,1556.651263537906
53047,17.0,WA,Okanogan County,6.0,41479.0,12.3,11.5,26.0,6.6,62.2,17.7,30.1,33.7,18.4,0.0034957448347356494,679.983606557377,1382.6333333333334,1338.032258064516
51023,12.0,VA,Botetourt County,2.0,33150.0,6.8,10.3,9.0,3.7,100.4,8.4,33.8,30.4,27.3,-0.005731523378582202,1578.5714285714287,2550.0,4143.75
51065,11.0,VA,Fluvanna County,3.0,26169.0,10.1,9.0,10.0,3.4,102.8,10.7,26.5,31.8,31.0,0.0017960181894608124,3271.125,3738.4285714285716,26169.0
51143,9.0,VA,Pittsylvania County,4.0,61673.0,8.3,11.3,19.0,4.8,67.8,17.8,36.1,31.5,14.6,-0.005091368994535697,2803.318181818182,5606.636363636364,5606.636363636364
51075,7.0,VA,Goochland County,1.0,22475.0,6.9,7.3,9.0,3.8,130.4,9.4,27.8,26.7,36.1,0.014060066740823137,22475.0,22475.0,22475.0
50017,13.0,VT,Orange County,9.0,28917.0,8.8,8.8,14.0,3.1,94.1,8.3,35.3,26.2,30.2,0.001106615485700453,1156.68,1701.0,3614.625
48113,11.0,TX,Dallas County,1.0,2587462.0,15.8,6.4,25.0,4.0,96.2,22.0,22.5,25.8,29.7,0.012842314205967082,930.741726618705,1688.943864229765,2073.286858974359
48339,7.0,TX,Montgomery County,1.0,554522.0,13.9,6.9,14.0,4.9,128.1,13.2,24.1,29.7,33.0,0.03481917759800333,1794.5695792880258,2758.81592039801,5134.462962962963
48201,9.0,TX,Harris County,1.0,4617041.0,16.1,5.8,24.0,5.3,99.7,19.8,23.3,26.8,30.1,0.014225344760854408,1211.1859916054564,2250.019980506823,2623.31875
48453,12.0,TX,Travis County,1.0,1204582.0,13.7,4.7,16.0,3.2,123.8,11.8,17.0,24.7,46.4,0.02182499821514849,1055.7248028045574,1856.0585516178737,2448.337398373984
48303,14.0,TX,Lubbock County,2.0,302301.0,14.1,8.2,22.0,3.4,85.9,14.9,25.5,31.7,28.0,0.012695955355754695,753.8678304239402,1698.3202247191011,1355.6098654708521
48029,10.0,TX,Bexar County,1.0,1927747.0,14.8,7.1,22.0,3.7,94.0,16.6,25.3,31.2,26.9,0.017085229545163342,1145.4230540701128,1991.474173553719,2696.1496503496505
48167,8.0,TX,Galveston County,1.0,329306.0,13.3,8.5,18.0,5.3,113.4,12.4,24.8,33.8,28.9,0.024296550928315914,1135.5379310344827,2045.3788819875776,2552.7596899224804
48459,11.0,TX,Upshur County,3.0,40864.0,11.8,11.3,23.0,6.4,86.6,16.6,32.8,34.8,15.8,0.011819694596711042,4540.444444444444,5837.714285714285,20432.0
48141,12.0,TX,El Paso County,2.0,837147.0,15.9,6.3,31.0,4.9,74.3,23.5,24.3,30.4,21.7,0.005085128418306462,1781.1638297872341,3335.2470119521913,3822.5890410958905
48061,13.0,TX,Cameron County,2.0,421766.0,16.9,6.4,40.0,7.2,64.7,34.4,25.0,23.8,16.8,0.005185339738148642,1802.4188034188035,2793.1523178807947,5081.518072289156
48109,20.0,TX,Culberson County,9.0,2219.0,13.9,8.9,38.0,4.1,64.8,35.1,34.9,22.3,7.7,-0.014420910319963948,2219.0,2219.0,1109.5
48229,20.0,TX,Hudspeth County,2.0,4073.0,8.5,3.2,34.0,6.0,62.3,47.8,25.3,19.4,7.5,0.15639577706849989,4073.0,4073.0,4073.0
41017,11.0,OR,Deschutes County,3.0,180675.0,10.0,8.2,14.0,4.8,106.7,7.0,23.6,36.1,33.3,0.03535076795350768,569.9526813880126,1309.2391304347825,1009.3575418994413
41003,11.0,OR,Benton County,3.0,89296.0,8.6,6.5,13.0,3.9,97.9,5.0,14.3,27.0,53.7,0.013326464791256046,551.2098765432099,1190.6133333333332,1026.3908045977012
41039,10.0,OR,Lane County,2.0,368283.0,9.7,9.7,20.0,5.1,83.5,8.9,24.7,37.7,28.7,0.017817819448630538,858.4685314685315,1674.0136363636364,1762.1196172248804
41001,17.0,OR,Baker County,7.0,15948.0,9.2,12.9,26.0,6.3,73.5,9.6,31.6,35.8,23.0,0.005079006772009029,1063.2,1594.8,3189.6
40019,11.0,OK,Carter County,5.0,48359.0,14.6,12.6,23.0,5.2,97.5,13.5,38.0,29.1,19.5,-0.0029156930457619056,743.9846153846154,1559.967741935484,1422.3235294117646
39095,17.0,OH,Lucas County,2.0,432562.0,12.8,10.2,28.0,5.2,86.4,11.2,30.4,33.3,25.1,-0.0017407909155219368,602.4540389972145,1339.2012383900928,1095.0936708860759
39035,19.0,OH,Cuyahoga County,1.0,1253454.0,11.7,10.8,26.0,5.6,89.2,11.5,28.3,29.3,30.9,-0.0035924732778386762,475.3333333333333,1035.912396694215,878.3840224246671
39151,17.0,OH,Stark County,2.0,373528.0,11.2,11.0,19.0,5.4,97.5,9.6,37.9,29.9,22.6,-0.0031885159880919237,887.2399049881235,1537.1522633744855,2098.4719101123596
38059,13.0,ND,Morton County,3.0,30615.0,17.1,8.8,11.0,3.2,105.0,7.9,31.2,35.6,25.3,0.013882083945778213,1611.3157894736842,2186.785714285714,6123.0
37169,12.0,NC,Stokes County,2.0,45891.0,8.7,11.6,18.0,4.8,95.2,17.8,39.3,28.6,14.3,-0.005709180449325576,1349.735294117647,2868.1875,2549.5
36063,10.0,NY,Niagara County,1.0,211798.0,9.9,11.0,18.0,5.8,80.3,9.1,34.9,32.5,23.5,-0.0035033380862897665,1097.39896373057,1961.0925925925926,2491.741176470588
35049,17.0,NM,Santa Fe County,3.0,147943.0,8.6,8.3,22.0,5.3,122.7,11.7,22.0,25.3,41.0,0.004508493135869896,782.7671957671957,1422.5288461538462,1740.5058823529412
32031,16.0,NV,Washoe County,2.0,452429.0,12.4,8.6,17.0,5.0,105.5,13.0,23.8,34.2,29.0,0.017839263177205706,797.9347442680776,1621.6093189964158,1570.9340277777778
32023,14.0,NV,Nye County,4.0,43399.0,8.1,16.1,26.0,7.3,87.0,15.3,36.5,36.1,12.1,0.007995575934929377,1009.2790697674419,1972.6818181818182,2066.6190476190477
32007,16.0,NV,Elko County,5.0,52283.0,15.9,6.5,13.0,4.5,127.2,16.6,27.7,37.6,18.1,0.008300977373142322,1936.4074074074074,3485.5333333333333,4356.916666666667
29189,14.0,MO,St. Louis County,1.0,998216.0,11.5,10.0,13.0,4.2,121.4,7.1,21.5,29.0,42.4,-0.0029162025052694007,1934.5271317829458,3283.6052631578946,4708.566037735849
27145,9.0,MN,Stearns County,3.0,156571.0,12.5,6.4,13.0,3.8,88.3,7.9,29.8,36.3,25.9,0.005971731674448014,708.4660633484162,1648.1157894736841,1242.626984126984
24009,12.0,MD,Calvert County,1.0,91099.0,10.5,7.5,7.0,3.9,123.4,6.7,30.9,33.2,29.3,0.006630149617449148,1138.7375,2277.475,2277.475
24033,6.0,MD,Prince George's County,1.0,911154.0,13.3,7.1,13.0,4.4,99.9,14.2,25.9,28.5,31.5,0.0031520467451166324,1486.3849918433932,2283.593984962406,4257.728971962617
24037,8.0,MD,St. Mary's County,3.0,111835.0,12.8,7.7,12.0,4.2,101.6,10.1,30.2,29.7,29.9,0.00657218223275361,1397.9375,2795.875,2795.875
24025,10.0,MD,Harford County,1.0,250439.0,10.7,8.4,9.0,4.2,106.1,7.2,27.8,30.5,34.5,0.003106544907143057,1039.1659751037344,1956.5546875,2216.2743362831857
24017,13.0,MD,Charles County,1.0,157430.0,11.7,7.0,10.0,4.2,119.2,7.2,32.3,33.1,27.4,0.010398272247983231,1405.625,2422.0,3349.574468085106
22033,14.0,LA,East Baton Rouge Parish,2.0,447731.0,13.7,8.6,29.0,5.1,111.2,9.8,27.4,28.6,34.2,0.0027583526715818205,620.1260387811634,1340.5119760479042,1153.9458762886597
22005,12.0,LA,Ascension Parish,2.0,121488.0,14.0,6.4,14.0,4.9,163.6,11.8,34.8,26.8,26.6,0.01738443303042276,1481.560975609756,3471.0857142857144,2584.851063829787
22019,6.0,LA,Calcasieu Parish,3.0,200632.0,14.6,10.1,28.0,4.8,103.7,14.6,34.6,30.3,20.6,0.010417082020814226,754.2556390977444,1579.7795275590552,1443.3956834532373
22103,11.0,LA,St. Tammany Parish,1.0,252772.0,12.1,9.0,13.0,5.0,145.2,11.2,26.6,30.9,31.3,0.013656575886569714,905.9928315412186,1696.456375838926,1944.4
17031,13.0,IL,Cook County,1.0,5231356.0,13.0,7.9,21.0,6.1,98.4,14.2,23.7,25.7,36.5,-0.0027669690229454847,850.4887010242237,1273.4556962025317,2560.624571708272
17197,14.0,IL,Will County,1.0,689731.0,11.3,6.5,10.0,6.0,133.9,9.2,26.9,30.5,33.5,0.004075501898566252,1473.784188034188,2758.924,3163.9036697247707
15001,15.0,HI,Hawaii County,5.0,198681.0,12.0,10.0,19.0,3.7,73.2,8.4,31.7,32.3,27.6,0.009769429386805986,2257.7386363636365,2879.4347826086955,10456.894736842105
15009,9.0,HI,Maui County,3.0,165384.0,11.4,7.7,12.0,3.1,93.4,8.2,31.5,34.7,25.7,0.006016301456005417,1425.7241379310344,2147.844155844156,4240.615384615385
15003,8.0,HI,Honolulu County,2.0,992761.0,13.3,8.3,10.0,2.8,107.2,8.9,26.2,31.5,33.4,-0.0009619636548978052,8204.636363636364,11030.677777777777,32024.548387096773
13103,12.0,GA,Effingham County,2.0,58553.0,13.1,7.6,15.0,4.8,119.3,13.8,36.9,31.0,18.3,0.025720287602684747,3444.294117647059,4504.076923076923,14638.25
12089,10.0,FL,Nassau County,1.0,79922.0,10.6,10.3,14.0,4.5,133.6,9.1,34.9,31.5,24.5,0.025412276970045795,1700.468085106383,3996.1,2960.074074074074
10003,7.0,DE,New Castle County,1.0,557851.0,11.7,8.4,15.0,4.4,108.3,9.5,28.9,26.1,35.4,0.004058431373251997,676.1830303030303,1384.2456575682381,1321.9218009478673
56035,10.0,WY,Sublette County,9.0,10002.0,10.6,4.6,7.0,6.4,117.0,4.7,37.5,33.4,24.4,-0.005398920215956809,1000.2,2500.5,1667.0
56031,13.0,WY,Platte County,7.0,8675.0,9.5,10.1,15.0,4.7,88.5,9.7,32.3,38.3,19.7,-0.014063400576368876,1239.2857142857142,2891.6666666666665,2168.75
56003,8.0,WY,Big Horn County,9.0,11941.0,10.9,10.9,14.0,4.9,80.6,10.4,29.9,40.4,19.3,-0.0012561761996482707,1990.1666666666667,3980.3333333333335,3980.3333333333335
56037,10.0,WY,Sweetwater County,5.0,44245.0,14.0,6.7,9.0,6.0,120.8,9.3,34.1,35.2,21.4,-0.01100689343428636,1701.7307692307693,4916.111111111111,2602.6470588235293
56045,11.0,WY,Weston County,7.0,7198.0,10.8,8.3,14.0,4.9,91.7,8.6,32.7,39.9,18.8,0.002361767157543762,1028.2857142857142,2399.3333333333335,1799.5
56011,11.0,WY,Crook County,9.0,7497.0,14.7,6.7,9.0,4.5,98.8,6.1,32.6,40.0,21.4,0.008670134720554888,3748.5,7497.0,7497.0
56027,14.0,WY,Niobrara County,9.0,2470.0,11.3,9.3,15.0,3.2,73.5,11.1,27.7,42.2,19.0,-0.010526315789473684,2470.0,2470.0,2470.0
56007,14.0,WY,Carbon County,7.0,15727.0,14.7,8.1,12.0,4.6,95.8,9.6,34.8,35.3,20.3,0.005213963247917594,2246.714285714286,7863.5,3145.4
55013,12.0,WI,Burnett County,8.0,15229.0,9.6,11.4,23.0,6.0,84.6,7.9,39.3,34.2,18.5,0.006500755138223127,1692.111111111111,3045.8,3807.25
55061,7.0,WI,Kewaunee County,2.0,20384.0,9.7,8.2,9.0,3.7,107.5,7.9,42.4,32.8,16.9,0.002354788069073783,1019.2,4076.8,1358.9333333333334
55019,11.0,WI,Clark County,6.0,34558.0,17.3,9.3,22.0,3.9,85.7,18.4,42.5,27.6,11.5,0.004861392441692228,1919.888888888889,3455.8,4319.75
55115,8.0,WI,Shawano County,6.0,40941.0,9.7,11.0,19.0,4.1,88.4,9.4,45.0,30.0,15.6,-0.0027356439754769057,1169.7428571428572,2408.294117647059,2274.5
55083,7.0,WI,Oconto County,2.0,37471.0,9.0,9.3,13.0,4.4,102.1,9.6,44.0,30.2,16.2,-0.00013343652424541646,1441.1923076923076,3747.1,2341.9375
55001,12.0,WI,Adams County,8.0,19997.0,6.4,13.3,25.0,6.0,74.6,12.7,42.9,31.7,12.7,-0.0017502625393809072,2499.625,4999.25,4999.25
55077,13.0,WI,Marquette County,8.0,15137.0,8.9,12.2,20.0,5.1,88.1,11.5,42.8,31.9,13.8,0.0011891391953491445,15137.0,15137.0,15137.0
55037,11.0,WI,Florence County,9.0,4334.0,7.6,12.9,20.0,5.9,84.0,7.2,38.3,37.1,17.5,-0.0027688047992616522,4334.0,4334.0,4334.0
55065,10.0,WI,Lafayette County,8.0,16776.0,12.7,7.9,18.0,3.2,98.7,10.1,40.5,31.7,17.7,-0.001430615164520744,2396.5714285714284,4194.0,5592.0
54105,14.0,WV,Wirt County,3.0,5770.0,9.8,9.0,27.0,8.8,87.0,16.7,48.8,24.9,9.7,-0.006065857885615251,1923.3333333333333,2885.0,5770.0
54027,9.0,WV,Hampshire County,3.0,23343.0,10.7,11.6,25.0,4.4,104.6,20.0,49.6,19.0,11.4,0.0010709848776935269,2917.875,23343.0,3334.714285714286
54047,16.0,WV,McDowell County,7.0,19139.0,10.1,17.0,44.0,12.2,56.7,35.1,44.9,14.8,5.2,-0.02952087360886149,1594.9166666666667,9569.5,1913.9
54023,12.0,WV,Grant County,7.0,11643.0,11.3,10.8,23.0,6.0,89.1,18.3,46.9,20.8,14.0,-0.0019754358842222794,1164.3,1293.6666666666667,11643.0
53069,17.0,WA,Wahkiakum County,8.0,4176.0,5.1,7.6,25.0,8.5,80.8,6.9,30.6,47.4,15.1,0.03807471264367816,4176.0,4176.0,4176.0
53029,12.0,WA,Island County,4.0,81638.0,12.0,9.3,12.0,5.8,96.1,5.2,22.8,40.2,31.7,0.020076434993507926,2332.5142857142855,4296.736842105263,5102.375
53035,10.0,WA,Kitsap County,2.0,263109.0,12.1,8.6,12.0,5.5,102.4,5.7,22.6,40.5,31.2,0.014951978077526804,1110.1645569620252,1920.5036496350365,2631.09
53045,16.0,WA,Mason County,4.0,62123.0,10.6,10.8,23.0,7.5,78.7,12.6,31.7,37.1,18.6,0.01833459427265264,3654.294117647059,5647.545454545455,10353.833333333334
53019,17.0,WA,Ferry County,9.0,7542.0,8.8,9.2,28.0,10.2,60.5,12.5,31.5,37.9,18.1,0.0027844073190135244,1508.4,2514.0,3771.0
53023,13.0,WA,Garfield County,8.0,2257.0,13.4,9.4,19.0,5.8,77.4,3.6,31.7,40.5,24.2,0.011519716437749225,2257.0,2257.0,2257.0
53059,14.0,WA,Skamania County,1.0,11593.0,7.8,6.0,18.0,6.9,83.2,9.5,28.6,39.2,22.7,0.018631933063055293,11593.0,11593.0,5796.5
51117,12.0,VA,Mecklenburg County,7.0,30786.0,8.4,14.5,26.0,5.7,67.3,20.1,32.8,30.0,17.1,-0.005359579029428962,855.1666666666666,1620.3157894736842,1810.9411764705883
51025,16.0,VA,Brunswick County,6.0,16275.0,8.1,13.2,30.0,6.0,57.9,22.7,37.8,27.1,12.4,-0.013947772657450078,2325.0,5425.0,4068.75
51017,9.0,VA,Bath County,8.0,4413.0,7.4,9.9,18.0,3.7,69.1,12.7,41.2,30.7,15.4,-0.010650351234987537,4413.0,1471.0,4413.0
51033,9.0,VA,Caroline County,1.0,30071.0,12.2,9.6,15.0,4.5,81.4,16.6,37.5,27.1,18.8,0.005753051112367397,3758.875,4295.857142857143,30071.0
51159,10.0,VA,Richmond County,9.0,8784.0,8.8,10.8,24.0,3.7,66.6,19.4,40.9,26.2,13.4,-0.0012522768670309653,2928.0,4392.0,8784.0
51057,10.0,VA,Essex County,6.0,11096.0,11.0,10.5,24.0,4.9,73.4,17.9,37.4,28.0,16.7,0.0016222062004325882,853.5384615384615,1109.6,3698.6666666666665
51111,13.0,VA,Lunenburg County,9.0,12266.0,9.9,13.2,26.0,4.7,56.2,24.2,35.5,28.5,11.8,-0.005217674873634437,2453.2,3066.5,12266.0
51045,14.0,VA,Craig County,2.0,5140.0,9.7,10.3,22.0,4.8,70.8,12.9,46.2,28.0,13.0,0.0001945525291828794,2570.0,5140.0,5140.0
51181,14.0,VA,Surry County,8.0,6570.0,8.8,10.4,22.0,5.3,76.0,16.4,30.1,30.7,22.8,-0.015220700152207,6570.0,6570.0,6570.0
51071,11.0,VA,Giles County,3.0,16887.0,11.4,12.7,18.0,5.4,76.0,14.8,39.3,30.0,15.9,0.006750755018653402,1688.7,2110.875,8443.5
51067,6.0,VA,Franklin County,2.0,56159.0,9.4,10.4,18.0,4.3,77.0,14.6,33.4,31.3,20.7,-0.0012820741110062502,2339.9583333333335,4679.916666666667,4679.916666666667
51113,9.0,VA,Madison County,8.0,13108.0,11.6,9.5,18.0,3.2,83.3,14.2,35.9,24.3,25.6,0.0056454073848031736,1872.5714285714287,2621.6,6554.0
51079,9.0,VA,Greene County,3.0,19331.0,10.6,7.9,13.0,3.3,97.1,16.5,32.4,26.6,24.4,0.007293983756660287,3866.2,4832.75,19331.0
51097,9.0,VA,King and Queen County,8.0,7067.0,8.5,7.6,19.0,4.2,76.5,14.5,41.1,25.1,19.2,-0.0021225413895570966,7067.0,7067.0,7067.0
